chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292084418,-0.516527778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,90.1459254,3.4762,space,13.54221468,5.2124,0,16,16,16,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,0.712,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.302821181,-0.503446181,1,0,0,RightButton,"[""RightButton""]",,,,,,,62,1.549,space,49,2.4674,,,,,,0,17,17,17,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.4781,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.272401259,-0.545190972,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,18,18,18,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.265977648,-0.543463542,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,54,3.9183,space,47,4.7381,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,0.4299,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.217686632,-0.467456597,1,0,0,LeftButton,"[""LeftButton""]",74,1.2362,space,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,0.3702,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.319704861,-0.481701389,1,0,0,RightButton,"[""RightButton""]",45,2.5513,space,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,2.7161,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.290375434,-0.513098958,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,20.72997773,15.9937,space,66.23274849,17.213,0,22,22,22,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,0.534,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.28835178,-0.49890625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,51.64788072,1.2814,space,69.86499106,5.2111,0,23,23,23,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,1.0658,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273464627,-0.49454182,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,73,6.8983,space,56,7.5156,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.1333,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.31445855,-0.536458333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,17.8030303,3.0329,space,71.9008663,3.832,0,25,25,25,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,0.0586,,
