chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.255436198,-0.531857639,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.285129123,-0.525815972,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,6.9602,space,0,9.1105,,,,,,0,17,17,17,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,0.6187,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.306195747,-0.503394097,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,2.2955,space,0,4.8239,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,0.7145,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.291704644,-0.525355903,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,3.2138,space,0,5.111,0,19,19,19,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,0.6475,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.274674479,-0.4896875,1,0,0,LeftButton,"[""LeftButton""]",0,3.4633,space,2.2235,,,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.271695964,-0.512204861,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,2.6958,space,0,5.8808,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,0.6693,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.329833984,-0.513940972,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,2.5165,space,0,4.5019,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,0.5901,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,0.286729601,-0.541979167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.292974175,-0.498237847,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,2.3995,space,0,4.2226,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,0.6244,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.270665148,-0.519314236,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.996202257,4.7966,space,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,0.7106
