key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
,,,,,,1,1.018,0,10,10,46,1,47,image/47.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,1,1.6087,0,11,11,14,1,15,image/15.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,1,1.4648,0,12,12,19,1,20,image/20.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,0.9255,0,13,13,28,1,29,image/29.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,0.948,0,14,14,33,1,34,image/34.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,4,1.1552,0,15,15,49,1,50,image/50.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,5,0.7622,0,16,16,18,1,19,image/19.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,6,0.8418,0,17,17,24,1,25,image/25.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,7,0.7644,0,18,18,27,1,28,image/28.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,6,0.9242,0,19,19,32,1,33,image/33.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,5,1.0993,0,20,20,40,1,41,image/41.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,4,0.7476,0,21,21,31,1,32,image/32.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,0.8925,0,22,22,10,1,11,image/11.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,1.3375,0,23,23,29,1,30,image/30.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,1,0.8169,0,24,24,13,1,14,image/14.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,0.8516,0,25,25,20,1,21,image/21.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,0.823,0,26,26,26,1,27,image/27.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,0.9379,0,27,27,1,1,2,image/2.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,0.7725,0,28,28,17,1,18,image/18.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,2,1.8803,0,29,29,25,1,26,image/26.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,0.694,0,30,30,36,1,37,image/37.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,0.7335,0,31,31,6,1,7,image/7.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,0.7601,0,32,32,9,1,10,image/10.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,0.9385,0,33,33,7,1,8,image/8.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,3,1.4192,0,34,34,11,1,12,image/12.jpg,R_49GRi7W6rJG5j6F,2,2024-04-02_14h58.31.997,face trait task,2021.2.3,Win32,59.88023952,,,,,,,
