chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.225010851,-0.497378472,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.289648438,-0.508003472,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,1,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.258805339,-0.507447917,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.517008464,3.3488,space,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,1.0102,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,0.294433594,-0.455755208,1,0,0,RightButton,"[""RightButton""]",1,3.8238,space,0.5528,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.320377604,-0.508958333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.358241102,-0.500052083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,1,3.5187,space,96,4.6488,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,0.8568,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,0.236897786,-0.487161458,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,0.232915582,-0.497751736,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,96.58071601,8.6372,space,11.62799874,5.6273,0,22,22,22,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,5.737,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.296614583,-0.501276042,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,6,3.0171,space,90,4.7012,,,,,,0,23,23,23,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,0.5695,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,0.312299262,-0.504765625,1,0,0,RightButton,"[""RightButton""]",6,3.6603,space,0.4514,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,,,,,,,
