chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.311528378,-0.465516532,1,0,0,RightButton,"[""RightButton""]",,,,,,,45,2.2784,space,55,5.135,,,,,,0,12,12,12,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,0.338,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,0.285960025,-0.511672131,1,0,0,RightButton,"[""RightButton""]",35,1.911,space,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,0.499,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.337684413,-0.460153809,1,0,0,LeftButton,"[""LeftButton""]",,,,1.991877238,2.875,space,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,0.3664,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.272333636,-0.47680106,1,0,0,RightButton,"[""RightButton""]",31,3.5348,space,,,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,2.153,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.287775603,-0.535455729,1,0,0,LeftButton,"[""LeftButton""]",,,,2.30007099,2.6753,space,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,0.8411,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,0.3190389,-0.528441104,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,44.4150777,2.9962,space,45.87715446,4.606,0,17,17,17,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,0.2322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Smaller,Greater,,,0.230639067,-0.505687198,1,0,0,RightButton,"[""RightButton""]",,,,,,,25,2.875,space,54,5.3836,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,0.2674,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.23378681,-0.490934012,1,0,0,LeftButton,"[""LeftButton""]",26,2.0439,space,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,0.4786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,0.2434114,-0.465631743,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,20,20,20,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3kN6FWJDmiyDkpx,1,2024-05-29_10h06.39.831,interaction task,2021.2.3,MacIntel,30.03003003,120788,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.286730739,-0.506995094,1,0,0,LeftButton,"[""LeftButton""]",7,1.5995,space,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,0.3502,
