chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,incompleteTrials
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.328172832,-0.518248981,1,0,0,LeftButton,"[""LeftButton""]",,,,2.449085884,1.712,space,0.9502,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.262808248,-0.494701087,1,0,0,RightButton,"[""RightButton""]",,,,,,,,55,1.8188,space,69,0.9718,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,0.5522,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,-0.304437713,-0.509179687,1,0,0,LeftButton,"[""LeftButton""]",44,1.8801,space,,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,1.5071,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.332785927,-0.513620924,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,-0.238860544,-0.483941916,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,50.04240964,2.5743,space,30.30689549,4.5691,0,28,28,28,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,0.3195,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.265534651,-0.513128397,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,44.40139061,2.355,space,44.48943087,1.1097,0,29,29,29,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,0.2384,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.267431973,-0.474634851,1,0,0,RightButton,"[""RightButton""]",,,,1.45142432,2.658,space,0.4692,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.254830995,-0.472044837,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,33.25678125,1.1382,space,34.63751031,2.1996,0,31,31,31,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,0.719,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,-0.260586735,-0.532319973,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,32,32,32,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.28999256,-0.518877378,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,86.32788343,2.5576,space,9.111201299,3.7179,0,33,33,33,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,0.2181,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,-0.293043155,-0.530281929,1,0,0,LeftButton,"[""LeftButton""]",7,1.912,space,,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,0.1864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,-0.285039328,-0.497019361,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,22,2.9149,space,40,4.6109,,,,,,0,35,35,35,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,1.0719,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.222746599,-0.509247622,1,0,0,RightButton,"[""RightButton""]",2,1.9505,space,,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,0.325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,-0.331685799,-0.507022758,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,37,37,37,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Smaller,Greater,,0.2654071,-0.468189538,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,51.5326522,3.6894,space,12.85076531,2.0981,0,38,38,38,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,0.3697,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5C4do3eNoyYdAul,1,2024-05-21_16h58.08.997,interaction task,2021.2.3,MacIntel,60.24096386,120215,,,,,,,,,,,,,,,,Greater,Smaller,,0.311973852,-0.523641304,1,0,0,RightButton,"[""RightButton""]",48,1.0312,space,,,,,,,,,,,,,,,0,39,39,39,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,1.0155,
