chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.27320421,-0.482643118,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,69.76908845,5.7425,space,5.674913194,10.3233,0,15,15,15,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,0.4031,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.360655382,-0.5123801,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,9,2.9379,space,2,6.1547,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,,1.0821
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.32125651,-0.521439175,1,0,0,LeftButton,"[""LeftButton""]",9,3.1709,space,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,0.8253,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,0.227457682,-0.522619138,1,0,0,RightButton,"[""RightButton""]",,,,4.988009983,5.7164,space,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,0.8904,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.222140842,-0.506879948,1,0,0,LeftButton,"[""LeftButton""]",6,2.8871,space,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,1.6937,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.244509549,-0.492748934,1,0,0,RightButton,"[""RightButton""]",,,,,,,11,4.5724,space,2,7.4835,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,,0.7058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.34211697,-0.483280679,1,0,0,LeftButton,"[""LeftButton""]",,,,4.977213542,2.9954,space,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,0.502,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.252945964,-0.490788672,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,70.4562991,4.6178,space,2.82907197,9.1434,0,22,22,22,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,0.9358,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.306228299,-0.519136343,1,0,0,RightButton,"[""RightButton""]",,,,4.997477214,1.7066,space,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,0.6725,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.292523872,-0.513360231,1,0,0,RightButton,"[""RightButton""]",,,,5,2.8538,space,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,0.9774,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292355686,-0.53929088,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,25,25,25,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.197157118,-0.533800244,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.234255642,-0.499724041,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,27,27,27,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,0.257340495,-0.49481387,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,28,28,28,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.355734592,-0.488904537,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,74.74835157,2.0379,space,1.494655759,5.1797,0,29,29,29,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,0.7035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240332031,-0.540099726,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,2.7555,space,1,4.6724,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,,0.8234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.238878038,-0.517775579,1,0,0,RightButton,"[""RightButton""]",,,,,,,9,3.3619,space,1,6.7883,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,,2.1619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.280962457,-0.541222594,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,80.04436728,4.3095,space,4.258294753,6.7849,0,32,32,32,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,0.333,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302208116,-0.515682095,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,86.26652813,3.4287,space,2.150629559,6.6028,0,33,33,33,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,0.32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.240093316,-0.482605055,1,0,0,RightButton,"[""RightButton""]",,,,4.986355252,2.8559,space,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,0.6996,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,0.323784722,-0.499029385,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,87.64971766,7.1643,space,2.574245055,8.9847,0,35,35,35,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,0.3574,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295041233,-0.514169077,1,0,0,RightButton,"[""RightButton""]",,,,4.990587023,2.2922,space,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,0.3575,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.367230903,-0.527624467,1,0,0,RightButton,"[""RightButton""]",5,3.4557,space,,,,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,1.2566,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.208273655,-0.502407506,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,89.92671945,6.0847,space,1.349431818,9.2384,0,38,38,38,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,0.3362,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.26633572,-0.530098584,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,5,4.7263,space,1,6.5708,,,,,,0,39,39,39,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,,1.2955
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,,0.270518663,-0.50884021,1,0,0,RightButton,"[""RightButton""]",3,4.4131,space,,,,,,,,,,,,,,0,40,40,40,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,0.8588,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.30242513,-0.509201812,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,41,41,41,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,,
