chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2625,-0.52,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,74.2704826,6.874,space,60.38159371,8.539,0,15,15,15,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,0.301,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.261111111,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,4.88,space,71,8.572,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,1.025,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268055556,-0.522222222,1,0,0,RightButton,"[""RightButton""]",,,,4.034722222,6.066,space,0.583,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297222222,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,51.12233446,5.084,space,89.28170595,3.31,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,0.503,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291666667,-0.5,1,0,0,,[],,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,2,RandomDot24.png,No answer,21,,,,30,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.291666667,-0.486666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,4.37,space,70,2.399,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,0.467,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,0.225,-0.477777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,3,RandomDot39.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.226388889,-0.526666667,1,0,0,RightButton,"[""RightButton""]",12,3.141,space,,,,,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,0.367,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268055556,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,4.638888889,3.422,space,0.9,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.313888889,-0.508888889,1,0,0,LeftButton,"[""LeftButton""]",71,4.504,space,,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,0.5,,,,,,
