chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.320644217,-0.487459106,1,0,0,RightButton,"[""RightButton""]",0,2.028,space,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,,,0.844,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.298682284,-0.47655398,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,0.012570803,2.137,space,0,5.59,0,19,19,19,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,2.368,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.300146413,-0.533260632,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,20,20,20,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269399707,-0.515812432,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,0,2.33,space,0,4.919,0,21,21,21,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,1.603,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.310395315,-0.535441658,1,0,0,RightButton,"[""RightButton""]",,,,1.972913616,1.841,space,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,,0.302,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257686676,-0.480916031,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.191,space,0,4.044,,,,,,0,23,23,23,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,0.606,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281112738,-0.526717557,1,0,0,RightButton,"[""RightButton""]",,,,2.002196193,1.808,space,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,,0.602,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.308931186,-0.513631407,1,0,0,LeftButton,"[""LeftButton""]",0,2.887,space,,,,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,,,0.679,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.237188873,-0.507088332,1,0,0,RightButton,"[""RightButton""]",0,3.462,space,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,,1.762,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.336749634,-0.487459106,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.355,space,0,6.274,,,,,,0,27,27,27,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,1.654,,,,,,,,,
