chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trialseq.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257666016,-0.526189236,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.39968533,-0.487369792,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,60.47914036,2.0314,space,48.64585525,5.8314,0,13,13,13,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,0.5857,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.336230469,-0.521909722,1,0,0,LeftButton,"[""LeftButton""]",51,2.4472,space,,,,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,,1.0684,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.323025174,-0.478958333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,15,15,15,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.378971354,-0.489748264,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,40,3.7028,space,60,7.8202,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,,0.4414,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.241531033,-0.523237847,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,50.26688324,8.4655,space,50.13481166,11.0701,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,1.6006,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.316134983,-0.485894097,1,0,0,RightButton,"[""RightButton""]",,,,4.991644965,4.2549,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,0.3866,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322672526,-0.525164931,1,0,0,LeftButton,"[""LeftButton""]",,,,4.992919922,4.5731,space,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,0.356,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.336165365,-0.633488907,0,0,0,,[],,,,,,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,,98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.312006293,-0.49898539,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,4.3177,space,61,7.3767,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,,0.3744,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.29055447,-0.515715188,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,51,4.5746,space,51,6.6897,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,,0.5682,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.267843967,-0.498173701,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,97.45753981,3.4902,space,21.24511171,6.6307,0,23,23,23,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,0.402,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.320486111,-0.469223485,1,0,0,RightButton,"[""RightButton""]",,,,,,,30,2.9676,space,73,6.9075,,,,,,0,24,24,24,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,,0.4539,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.270035807,-0.488681457,1,0,0,RightButton,"[""RightButton""]",,,,4.981146918,2.1514,space,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.1068,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.246657986,-0.466844787,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,0,RandomDot19.png,No answer,21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.39835612,-0.458107864,1,0,0,LeftButton,"[""LeftButton""]",71,4.0244,space,,,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,0.3188,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.258534071,0.197138799,0,0,0,,[],,,,,,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,,,95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.326605903,-0.52052895,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,,,,41
