chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,0.300840929,-0.497057292,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,90.39965629,2.9439,space,10.98736935,4.6139,0,29,29,29,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,0.3016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.299793837,-0.504921875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,89.11127332,3.3481,space,11.05422717,4.8289,0,30,30,30,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,0.2681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.280767144,-0.502916667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,76,7.5832,space,0,6.6831,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,1.1668,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.276784939,-0.516631944,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,71,3.266,space,2,5.2826,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,0.2512,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.26726888,-0.499548611,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.987467448,3.9995,space,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,2.7448,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.275916884,-0.494262153,1,0,0,LeftButton,"[""LeftButton""]",12,4.4828,space,2.0739,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.262738715,-0.5384375,1,0,0,LeftButton,"[""LeftButton""]",14,1.6169,space,0.5833,,,,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,0.289507378,-0.526284722,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,92.91997668,2.4963,space,7.212094907,5.7458,0,36,36,36,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,2.2172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,0.337749566,-0.458133681,1,0,0,RightButton,"[""RightButton""]",,,,,,,,84,1.9998,space,8,3.2168,,,,,,0,37,37,37,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,0.9834,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.251394314,-0.479296875,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.858940972,2.9864,space,,,,,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,1.2665,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.274500868,-0.509288194,1,0,0,LeftButton,"[""LeftButton""]",14,4.3513,space,2.1514,,,,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.310904948,-0.497196181,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,90.40787651,5.1132,space,11.65923559,7.4132,0,40,40,40,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,1.1218
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.291981337,-0.511171875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,41,41,41,1,0,both_right.png,0,RandomDot34.png,No answer,19,,,
