chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.351192434,-0.506920896,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.260160819,-0.493035255,1,0,0,RightButton,"[""RightButton""]",40,2.0042,space,0.9677,,,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.247062317,-0.52178584,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,29.44171245,3.5153,space,69.9846602,6.8124,0,16,16,16,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,0.479,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.247852705,-0.499904993,1,0,0,LeftButton,"[""LeftButton""]",49,3.4051,space,0.421,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.237664474,-0.531958899,1,0,0,RightButton,"[""RightButton""]",,,,,0.024465461,3.0835,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,0.5613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.241652961,-0.539610617,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,58.98975131,4.8244,space,39.8754541,7.7584,0,19,19,19,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,0.6801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.230217471,-0.498436038,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.052197551,2.1521,space,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,0.5959
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.33341557,-0.493809928,1,0,0,RightButton,"[""RightButton""]",,,,,,,,51,2.9602,space,59,5.6611,,,,,,0,21,21,21,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.433,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.284210526,-0.493049871,1,0,0,RightButton,"[""RightButton""]",50,3.2435,space,0.2512,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.259457237,-0.50735939,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.024945175,2.6211,space,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,0.6161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.335562865,-0.537293908,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.055030154,1.6897,space,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,0.2499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.226900585,-0.457363775,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,49,2.0426,space,59,4.393,,,,,,0,25,25,25,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,0.1633,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.270202851,-0.51397334,1,0,0,LeftButton,"[""LeftButton""]",0,4.1146,space,2.6552,,,,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258104898,-0.496682063,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,58,1.7169,space,40,3.6565,,,,,,0,27,27,27,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,0.3676,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284078034,-0.516026953,1,0,0,RightButton,"[""RightButton""]",,,,,0.060101425,1.9087,space,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,0.3297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.326114766,-0.522407039,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,49,4.7516,space,49,5.7051,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,0.1513,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.328842288,-0.493663763,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,99.60007605,4.008,space,0.63435894,5.5815,0,30,30,30,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,0.2853,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.265602156,-0.517378976,1,0,0,LeftButton,"[""LeftButton""]",11,6.3646,space,0.3197,,,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.278115863,-0.484440774,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,32,32,32,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.176302083,-0.457078754,1,0,0,RightButton,"[""RightButton""]",0,2.7055,space,0.9973,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291698648,-0.50442148,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,49.77525622,1.6852,space,49.0198033,2.547,0,34,34,34,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,0.2687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.268128655,-0.489973106,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,31,4.009,space,61,7.2267,,,,,,0,35,35,35,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,0.3024,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.325877193,-0.51620235,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,28,3.9194,space,60,6.3014,,,,,,0,36,36,36,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,0.3042,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.278750914,-0.516034261,1,0,0,LeftButton,"[""LeftButton""]",3,2.9648,space,1.135,,,,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.209745066,-0.538580157,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,38,38,38,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.36207511,-0.50628508,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.86755346,2.4697,space,48.20435717,3.5199,0,39,39,39,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,0.4034,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289304642,-0.508068288,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,49.81863592,3.1667,space,50.62254489,4.2534,0,40,40,40,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,0.3492,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.254897661,-0.461083665,1,0,0,RightButton,"[""RightButton""]",,,,,0.055943896,3.3185,space,,,,,,,,,,,0,41,41,41,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,0.6917
