chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.294915254,-0.50911641,1,0,0,RightButton,"[""RightButton""]",,,,,,,61,6.165,space,11,9.716,,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,1.474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.281355932,-0.534361851,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,59.41619586,2.454,space,0.579,49.82879644,6.536,0,17,17,17,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.327118644,-0.514726508,1,0,0,LeftButton,"[""LeftButton""]",,,,4.93220339,4.118,space,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,0.728,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.283050847,-0.511921459,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,66,2.342,space,9,6.4,,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,1.829
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.330508475,-0.500701262,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,20,20,20,1,0,both_right.png,0,RandomDot36.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.305084746,-0.517531557,1,0,0,LeftButton,"[""LeftButton""]",83,2.073,space,,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,1.215,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.261016949,-0.489481066,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.33559322,-0.514726508,1,0,0,LeftButton,"[""LeftButton""]",82,1.863,space,,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,0.872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.257627119,-0.500701262,1,0,0,LeftButton,"[""LeftButton""]",90,1.371,space,,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,1.122,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.33220339,-0.50911641,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,60.1010101,2.481,space,0.971,54.28008903,5.271,0,25,25,25,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,
