chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.281632653,-0.467391304,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,92.87775716,3.853,space,2.037380609,6.26,0,15,15,15,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,0.213,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,0.268027211,-0.508695652,1,0,0,RightButton,"[""RightButton""]",,,,3.071428571,1.851,space,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,0.468,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,0.307482993,-0.517391304,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,0.221768707,-0.530434783,1,0,0,RightButton,"[""RightButton""]",3,2.957,space,,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,0.266,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,0.31292517,-0.532608696,1,0,0,RightButton,"[""RightButton""]",1,1.818,space,,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,0.258,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,0.278911565,-0.515217391,1,0,0,RightButton,"[""RightButton""]",,,,2.119047619,1.475,space,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,0.645,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.07755102,0.015217391,0,0,0,,[],,,,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,55,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.246258503,-0.473913043,1,0,0,LeftButton,"[""LeftButton""]",,,,3.030612245,7.137,space,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,1.627,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,0.250340136,-0.52826087,1,0,0,RightButton,"[""RightButton""]",,,,2.976190476,1.543,space,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,1.31,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244897959,-0.491304348,1,0,0,RightButton,"[""RightButton""]",0,3.967,space,,,,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,0.545,,,,,,
