chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.2578125,-0.514954144,1,0,0,LeftButton,"[""LeftButton""]",90,2.0547,space,,,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,0.3388,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.257121599,-0.525076427,1,0,0,RightButton,"[""RightButton""]",,,,2.990779124,2.4972,space,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,0.3173,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.334119898,-0.500721807,1,0,0,RightButton,"[""RightButton""]",62,2.7161,space,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,0.301,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,0.27406994,-0.540132473,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.283062287,-0.524923573,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,19,19,19,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,0.293085672,-0.529398777,1,0,0,RightButton,"[""RightButton""]",,,,,,,79,3.6723,space,99,8.1887,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,0.3174,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.242628614,-0.505400815,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,75.48604669,3.5344,space,83.94596475,5.7758,0,21,21,21,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,,0.3179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.240008503,-0.481954823,1,0,0,LeftButton,"[""LeftButton""]",77,1.7778,space,,,,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,0.2899,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.238701105,-0.544098166,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,93,2.2551,space,96,3.2887,,,,,,0,23,23,23,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,0.1959,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,0.317862457,-0.474702785,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,78.28239882,1.7839,space,76.47596286,2.5142,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,,0.0963
