chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.266742622,-0.531918403,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,8.3202,space,0.532341646,11.7683,0,14,14,14,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,0.4359,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.273480903,-0.480460069,1,0,0,RightButton,"[""RightButton""]",,,,3.980821398,4.9316,space,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,,0.9331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.310693359,-0.504470486,1,0,0,LeftButton,"[""LeftButton""]",,,,4.995008681,2.3728,space,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,0.8836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.282465278,-0.543506944,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,6.3874,space,52,11.0378,,,,,,0,17,17,17,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,0.5379,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.363742405,-0.524713542,1,0,0,RightButton,"[""RightButton""]",2,2.9436,space,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,0.2534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.263709852,-0.525503472,1,0,0,RightButton,"[""RightButton""]",,,,4.377224392,2.588,space,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,0.5674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.284130859,-0.484184028,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,20,20,20,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.317795139,-0.490329861,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,3.3935,space,18,4.2486,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,0.5671,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.210747613,-0.503185764,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,71.98252052,4.5885,space,52.51593627,7.1961,0,22,22,22,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,0.3503,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.252620443,-0.519340278,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,88.53476168,3.8029,space,41.58523166,4.8569,0,23,23,23,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,0.65,,,
