chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.256738281,-0.475902778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,39.88857762,3.164,space,70.71879823,4.1623,0,15,15,15,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,0.1471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259727648,-0.488333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,81,3.9084,space,22,5.3645,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,0.3183,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.233702257,-0.507994792,1,0,0,LeftButton,"[""LeftButton""]",50,2.2846,space,,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,0.2175,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250770399,-0.500416667,1,0,0,LeftButton,"[""LeftButton""]",60,1.3021,space,,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,1.0362,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283642578,-0.497491319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,1.9838,space,26,3.1176,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,1.2834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.327777778,-0.499366319,1,0,0,LeftButton,"[""LeftButton""]",59,82.6688,space,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,0.4865,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.262890625,-0.474079861,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,67,1.2311,space,22,2.4334,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,0.5673,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.313796658,-0.513489583,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,44.20145465,2.7448,space,68.00393255,5.9982,0,22,22,22,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,1.9301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.298160807,-0.519661458,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250488281,-0.531744792,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,29.32833105,2.1481,space,78.05616933,5.0418,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,0.2694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.294590929,-0.505425347,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,47.08017677,10.6307,space,75.36322426,12.248,0,25,25,25,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,0.2992
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291286892,-0.523420139,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.296061198,-0.470677083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.314089627,-0.508793403,1,0,0,LeftButton,"[""LeftButton""]",,,,0.983506944,2.9351,space,0.288,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285698785,-0.533854167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,54.53537107,4.1818,space,72.50203862,5.4805,0,29,29,29,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,0.4346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.337619358,-0.514574653,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,1.4838,space,11,2.6659,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,0.4694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257280816,-0.478090278,1,0,0,LeftButton,"[""LeftButton""]",,,,0.978407118,2.4854,space,0.351,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,
