chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.326719577,-0.528042328,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.97060553,2.734,space,1.231895676,5.604,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,1.389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,0.321428571,-0.53015873,1,0,0,RightButton,"[""RightButton""]",1,2.018,space,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,0.667,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.318783069,-0.496296296,1,0,0,RightButton,"[""RightButton""]",0,1.768,space,,,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,0.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.214285714,-0.481481481,1,0,0,RightButton,"[""RightButton""]",,,,2.367724868,8.893,space,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,,0.854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.246031746,-0.534391534,1,0,0,LeftButton,"[""LeftButton""]",,,,2.552910053,4.593,space,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,,0.374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272486772,-0.479365079,1,0,0,RightButton,"[""RightButton""]",4,3.227,space,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,1.339,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,0.251322751,-0.483597884,1,0,0,RightButton,"[""RightButton""]",,,,2.51984127,3.669,space,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,0.615
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255291005,-0.515343915,1,0,0,RightButton,"[""RightButton""]",11,1.703,space,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,0.455,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,0.23015873,-0.517460317,1,0,0,RightButton,"[""RightButton""]",,,,2.44047619,2.064,space,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,,0.467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,0.203703704,-0.500529101,1,0,0,RightButton,"[""RightButton""]",,,,2.427248677,1.177,space,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,0.483
