chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,0.323206668,-0.523253581,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.258125305,-0.503580458,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,63.68049767,4.5063,space,0.399,50.86861213,6.7968,0,16,16,16,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.336326006,-0.506196425,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.287040965,-0.477634006,1,0,0,RightButton,"[""RightButton""]",80,4.3126,space,,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,,0.9675,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.298756282,-0.474575195,1,0,0,LeftButton,"[""LeftButton""]",83,1.7625,space,,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,,0.6342,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250363753,-0.536413845,1,0,0,LeftButton,"[""LeftButton""]",,,,1.281137255,3.4413,space,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,0.784,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.305793847,-0.517828776,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,62,5.4084,space,44,8.0607,,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,0.669,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.279268561,-0.518961724,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,64.27827058,3.3411,space,0.4309,65.05472202,7.0541,0,22,22,22,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.261254205,-0.541595323,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6FVQ6tVpIriVaju,1,2024-05-30_21h47.31.691,interaction task,2021.2.3,MacIntel,58.82352941,115201,,,,,,,,,,,,,,,,,Greater,Smaller,,0.236583032,-0.485133735,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,59.93971391,5.5566,space,0.3671,61.90665916,6.724,0,24,24,24,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,,,,,,,
