chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.311564626,-0.465217391,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,66.49144506,2.788,space,47.38885453,3.966,0,17,17,17,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,1.119,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.281632653,-0.52173913,1,0,0,RightButton,"[""RightButton""]",82,1.973,space,0.967,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.273469388,-0.52826087,1,0,0,RightButton,"[""RightButton""]",89,1.761,space,0.724,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.255782313,-0.504347826,1,0,0,RightButton,"[""RightButton""]",,,,,4.023809524,2.691,space,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,0.351,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.219047619,-0.52826087,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.242176871,-0.52826087,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.47687762,2.881,space,68.14058957,4.037,0,22,22,22,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,1.09,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.220408163,-0.541304348,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.232653061,-0.530434783,1,0,0,RightButton,"[""RightButton""]",,,,,4.003401361,3.852,space,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,0.935,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266666667,-0.510869565,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,97,3.389,space,29,6.8,,,,,,0,25,25,25,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,,0.752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.195918367,-0.47826087,1,0,0,LeftButton,"[""LeftButton""]",91,4.253,space,1.061,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,
