chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.333170573,-0.490164931,1,0,0,LeftButton,"[""LeftButton""]",,,,3.046115451,1.439,space,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,0.8939,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.262565104,-0.527560764,1,0,0,RightButton,"[""RightButton""]",,,,3.993489583,3.5551,space,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,0.3453,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,0.255815972,-0.52296875,1,0,0,RightButton,"[""RightButton""]",,,,,,,68,2.7851,space,11.4674,67,1.4334,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.049810113,-0.356328125,0,0,0,,[],,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,,45,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.240109592,-0.514123264,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,59.66698232,2.6321,space,32.44653567,9.1655,0,16,16,16,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,9.3339,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.243570964,-0.50921875,0,0,0,,[],,,,,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,,,145,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.243663194,-0.535755208,1,0,0,RightButton,"[""RightButton""]",,,,,,,46,2.003,space,1.5846,52,1.1608,,,,,,0,18,18,18,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.228803168,-0.531397569,1,0,0,LeftButton,"[""LeftButton""]",31,2.7718,space,,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,1.7008,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,0.307269965,-0.515095486,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,56.99540983,2.0384,space,58.54026375,3.1239,0,20,20,20,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,0.6343,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.211740451,-0.507369792,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,69,10.9495,space,0.4112,48,11.8892,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.287505425,-0.534626736,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,56.44465488,1.9718,space,62.41472889,1.0992,0,22,22,22,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,0.6737,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.25475803,-0.493793403,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.27913954,-0.489227431,1,0,0,LeftButton,"[""LeftButton""]",48,1.5561,space,,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,1.4676,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,0.059548611,-0.465494792,0,0,0,,[],,,,,,,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,,108,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.225661892,-0.497977431,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.257074653,-0.537604167,1,0,0,LeftButton,"[""LeftButton""]",60,2.4124,space,,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,1.0666,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.033311632,-0.708567708,0,0,0,,[],,,,,,,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,,191,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.260194227,-0.491918403,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,63.8856008,3.6902,space,60.19800873,2.9137,0,29,29,29,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,0.9394,,,,,,
