chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.311903212,-0.5015625,1,0,0,LeftButton,"[""LeftButton""]",,,,4.948160807,2.8218,space,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,0.7603,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.364740668,-0.531840278,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,16,16,16,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.268044705,-0.523480903,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.92853886,2.9985,space,0,4.9251,0,17,17,17,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,,0.5769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,0.313254123,-0.527204861,1,0,0,RightButton,"[""RightButton""]",,,,4.957465278,3.5961,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,0.5332,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.299077691,-0.521588542,1,0,0,LeftButton,"[""LeftButton""]",,,,4.993055556,2.8316,space,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,0.3399,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259950087,-0.532421875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,99,3.1617,space,1,4.9257,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,1.0285,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,0.23515625,-0.545069444,1,0,0,RightButton,"[""RightButton""]",,,,4.95553928,2.1283,space,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.8994,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257367622,-0.504322917,1,0,0,LeftButton,"[""LeftButton""]",0,3.3018,space,,,,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,0.7981,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.237478299,-0.491753472,1,0,0,LeftButton,"[""LeftButton""]",61,3.0306,space,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,0.4406,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,0.246777344,-0.482690972,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.92799085,2.3071,space,0.251210017,4.1408,0,24,24,24,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,,0.1504
