chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.284374952,-0.493333308,1,0,0,LeftButton,"[""LeftButton""]",,,,0.026041667,10.059,space,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,1.0468,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.228125016,-0.498333359,1,0,0,LeftButton,"[""LeftButton""]",40,4.5078,space,,,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,2.6551,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.248958349,-0.515000025,1,0,0,LeftButton,"[""LeftButton""]",60,2.3611,space,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,0.7883,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.318749984,-0.505000051,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,0.290625016,-0.5,1,0,0,RightButton,"[""RightButton""]",1,2.6767,space,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,0.7416,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.294791619,-0.513333384,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,26,26,26,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.273958365,-0.536666743,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,79.77693924,9.9929,space,2.756736415,7.3429,0,27,27,27,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,3.4804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.28125,-0.513333384,1,0,0,LeftButton,"[""LeftButton""]",,,,0.020833413,4.8121,space,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,1.0038,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.255208333,-0.515000025,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,29,29,29,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25,-0.521666718,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.7134,space,100,6.9445,,,,,,0,30,30,30,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,0.7462,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257291635,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.2969,space,100,4.6705,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,0.7285,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.280208349,-0.496666718,1,0,0,LeftButton,"[""LeftButton""]",0,2.5405,space,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,0.7231,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301041683,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.4977,space,0,5.0918,,,,,,0,33,33,33,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,0.667,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.214583317,-0.520000076,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,40.42508578,4.0549,space,0.652359311,7.4664,0,34,34,34,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,0.7068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267708381,-0.538333384,1,0,0,RightButton,"[""RightButton""]",,,,0.020833413,6.0637,space,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,0.8979,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301041683,-0.495000076,1,0,0,LeftButton,"[""LeftButton""]",0,2.6914,space,,,,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,3.1075,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275000016,-0.516666667,1,0,0,LeftButton,"[""LeftButton""]",,,,0.020833413,5.9894,space,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,0.9378,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.309375048,-0.50333341,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,51.7917,space,1,50.4337,,,,,,0,38,38,38,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,0.9231,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.268750032,-0.515000025,1,0,0,RightButton,"[""RightButton""]",,,,0.005208453,3.0546,space,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,0.6537,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302083333,-0.493333308,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,23,1.8087,space,25,3.0486,,,,,,0,40,40,40,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,0.5834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.276041667,-0.50333341,1,0,0,LeftButton,"[""LeftButton""]",,,,0.005208453,3.982,space,,,,,,,,,,,0,41,41,41,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,0.6772,,
