chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.226939971,-0.502604167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.300146413,-0.479166667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.229868228,-0.541666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,32,1.9968,space,24,4.0597,,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,0.6755,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.260614934,-0.536458333,1,0,0,LeftButton,"[""LeftButton""]",50,1.7149,space,,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,0.2375,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,0.313323572,-0.458333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,67,1.8599,space,47,2.9554,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,0.479,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.244509517,-0.502604167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,0.303074671,-0.486979167,1,0,0,RightButton,"[""RightButton""]",99,2.1288,space,,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,0.5817,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,0.301610542,-0.455729167,1,0,0,RightButton,"[""RightButton""]",,,,,,,67,1.5447,space,65,2.87,,,,,,,0,23,23,23,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,0.3922,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.213762811,-0.513020833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.213762811,-0.513020833,0,0,0,,[],,,,,,,,,,,,,,,,,,0,25,25,25,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,16,,,,,
