chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.307291667,-0.475925926,1,0,0,LeftButton,"[""LeftButton""]",54,3.35,space,,,,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,0.8925,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257291667,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",62,2.9549,space,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,0.9781,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,0.297916667,-0.468518519,1,0,0,RightButton,"[""RightButton""]",,,,4.994791667,2.8489,space,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,1.1994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.24375,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",,,,4.880208333,3.9839,space,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,3.7925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25625,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,76,3.0972,space,35,5.4409,,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,1.2682,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.329166667,-0.524074074,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,39.16245791,3.8755,space,1.4204,67.88720539,7.0211,0,30,30,30,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.261458333,-0.472222222,1,0,0,RightButton,"[""RightButton""]",,,,,,,51,2.9037,space,49,4.2453,,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,3.0672,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.235416667,-0.492592593,1,0,0,RightButton,"[""RightButton""]",36,2.9291,space,,,,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,0.9383,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,0.202083333,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,4.15625,5.2964,space,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,0.879
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.278125,-0.462962963,1,0,0,RightButton,"[""RightButton""]",58,3.1925,space,,,,,,,,,,,,,,,0,34,34,34,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,1.0242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253125,-0.496296296,1,0,0,LeftButton,"[""LeftButton""]",,,,4.8125,3.803,space,,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,4.5994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.344791667,-0.52037037,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,36,36,36,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.259375,-0.522222222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,37,37,37,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.267708333,-0.512962963,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,40.74074074,3.0065,space,1.0003,61.0479798,4.9754,0,38,38,38,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.29375,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,3.96875,2.9097,space,,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,1.9736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25625,-0.533333333,1,0,0,RightButton,"[""RightButton""]",80,2.6697,space,,,,,,,,,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,1.7655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.253125,-0.498148148,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,67,7.256,space,55,6.041,,,,,,,0,41,41,41,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,2.5955,,
