chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,0.270833397,-0.507407464,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2875,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,50.10522207,1.4146,space,48.94781787,3.7595,0,23,23,23,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,0.5366,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292708302,-0.479629686,1,0,0,LeftButton,"[""LeftButton""]",100,4.2674,space,,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,0.3176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,0.296875,-0.509259372,1,0,0,RightButton,"[""RightButton""]",,,,,,,100,3.878,space,0.4875,100,5.5624,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.304166698,-0.498148261,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,6.9195,space,0.336701942,9.8451,0,26,26,26,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,0.234,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295833302,-0.509259372,1,0,0,LeftButton,"[""LeftButton""]",,,,2.557291985,3.1799,space,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,0.3513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.333333302,-0.535185242,1,0,0,LeftButton,"[""LeftButton""]",,,,2.53125,1.955,space,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,1.1089,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.213541698,-0.511111111,1,0,0,RightButton,"[""RightButton""]",100,2.5298,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,1.2675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285416698,-0.525926039,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2625,-0.479629686,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,3.2476,space,0.547141258,9.449,0,31,31,31,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,0.2816,,
