chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.261111111,-0.513333333,1,0,0,LeftButton,"[""LeftButton""]",,,,0.013888889,11.965,space,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,,1.311,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,0.248611111,-0.508888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,1,3.08,space,86,5.108,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,0.41,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,0.298611111,-0.544444444,1,0,0,RightButton,"[""RightButton""]",,,,0.069444444,5.676,space,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,,,1.03,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313888889,-0.544444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.18,space,92,5.703,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,2.035,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.290277778,-0.502222222,1,0,0,LeftButton,"[""LeftButton""]",,,,0.020833333,3.972,space,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,,,0.84,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.247222222,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,0.090277778,7.112,space,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,,0.667,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.305555556,-0.54,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,1,4.266,space,91,5.894,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,1.094,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.256944444,-0.511111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,61.78451178,8.914,space,21.09988777,5.87,0,20,20,20,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,2.317,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269444444,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,0.020833333,2.137,space,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,,,2.078,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.329166667,-0.495555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,69.64085297,11.241,space,1.599326599,7.383,0,22,22,22,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,1.516,,,,,,,,,
