chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.217522321,-0.497218196,1,0,0,LeftButton,"[""LeftButton""]",,,,5,9.2333,space,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,2.7899,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.24303784,-0.491548005,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,4.2345,space,1.1205,20,7.1225,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.276248937,-0.538380372,1,0,0,LeftButton,"[""LeftButton""]",,,,2.501514668,3.9854,space,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,1.1171,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.278231293,-0.491782486,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.300414541,-0.508707793,1,0,0,RightButton,"[""RightButton""]",,,,,,,5,3.5407,space,0.92,5,5.8496,,,,,,0,19,19,19,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.274415391,-0.477106071,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,4.2443,space,1.0165,50,6.9344,,,,,,0,20,20,20,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.225015944,-0.540714529,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,20.33311431,2.774,space,10.37758538,5.2672,0,21,21,21,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,0.934,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,0.347363946,-0.53241175,1,0,0,RightButton,"[""RightButton""]",,,,1.001434949,2.4466,space,,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,1.1022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.248272747,-0.492219475,0,0,0,,[],,,,,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,,,145,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272076956,-0.482062159,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,15.55692984,6.3942,space,6.001876761,11.1122,0,24,24,24,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,1.0835,,,,,,,,
