chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255287388,-0.517208821,1,0,0,RightButton,"[""RightButton""]",0,1.8177,space,,,,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,0.3546,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.297205171,-0.491387975,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,38.56778349,2.8093,space,0.5844,58.05487915,4.1796,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,0.253059896,-0.544978984,1,0,0,RightButton,"[""RightButton""]",,,,,,,44,3.052,space,28,5.4813,,,,,,,0,18,18,18,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,0.6861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293178013,-0.522866411,1,0,0,RightButton,"[""RightButton""]",,,,2.036597842,5.5989,space,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,1.6695,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.266922433,-0.523498416,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,87,1.7484,space,38,4.1825,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,0.4019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.260551525,-0.511338024,1,0,0,LeftButton,"[""LeftButton""]",,,,3.435221354,2.8019,space,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,1.7173,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.279073661,-0.48700201,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,1,1.9012,space,1,3.6172,,,,,,,0,22,22,22,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,0.3846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.292764137,-0.508162768,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.285970052,-0.53547606,1,0,0,LeftButton,"[""LeftButton""]",,,,3.652227493,2.5201,space,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,0.6338,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,0.214355469,-0.514802632,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,51.47776124,1.6467,space,0.916,55.0913713,3.4677,0,25,25,25,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,
