chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322222222,-0.524444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.94388328,2.647,space,0.19640853,4.246,0,23,23,23,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,0.434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,0.330555556,-0.491111111,1,0,0,RightButton,"[""RightButton""]",0,2.157,space,,,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,0.65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,0.280555556,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,100,5.31,space,0,7.542,0,25,25,25,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,,1.034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,0.384722222,-0.493333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,100,4.611,space,0.056116723,5.914,0,26,26,26,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.305555556,-0.495555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,5,3.551,space,0,6.45,,,,,,0,27,27,27,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,0.271,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.222222222,-0.497777778,1,0,0,LeftButton,"[""LeftButton""]",1,7.622,space,,,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,4.325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.293055556,-0.48,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,2.396,space,0.336700337,3.963,0,29,29,29,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,,0.611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.297222222,-0.482222222,1,0,0,LeftButton,"[""LeftButton""]",,,,4.951388889,3.552,space,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.722,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2625,-0.497777778,1,0,0,RightButton,"[""RightButton""]",0,4.951,space,,,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,0.383,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322222222,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,32,32,32,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244444444,-0.471111111,1,0,0,RightButton,"[""RightButton""]",,,,2.986111111,6.119,space,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,1.876,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.391666667,-0.517777778,1,0,0,LeftButton,"[""LeftButton""]",4,2.942,space,,,,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,0.742,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.338888889,-0.495555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.582,space,0,4.704,,,,,,0,35,35,35,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.482,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.259722222,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,36,36,36,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,0.270833333,-0.491111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,3,3.848,space,0,5.781,,,,,,0,37,37,37,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,0.445,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,0.268055556,-0.524444444,1,0,0,RightButton,"[""RightButton""]",,,,2.993055556,3.651,space,,,,,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,0.44,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.295833333,-0.493333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,2.899,space,0,4.545,0,39,39,39,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,,0.467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,0.256944444,-0.464444444,1,0,0,RightButton,"[""RightButton""]",1,2.487,space,,,,,,,,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,0.801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268055556,-0.497777778,1,0,0,RightButton,"[""RightButton""]",0,2.31,space,,,,,,,,,,,,,,0,41,41,41,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,0.407,
