chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_forgiveness.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284375,-0.483333333,1,0,0,RightButton,"[""RightButton""]",55,3.3076,space,0.6778,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265625,-0.501851908,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,87.14226231,5.0646,space,20.43350489,7.1111,0,17,17,17,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,,0.3542,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,0.285416698,-0.468518575,1,0,0,RightButton,"[""RightButton""]",,,,,,,,29,17.9122,space,8,9.3232,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,9.1065,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.226041651,-0.485185242,1,0,0,LeftButton,"[""LeftButton""]",14,2.3019,space,0.842,,,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,0.267708397,-0.477777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,8.2161,space,15,11.0537,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,0.3522,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,0.321875,-0.514814928,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,85.77441399,5.8103,space,15.69865641,11.8229,0,21,21,21,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,3.4893,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292708302,-0.485185242,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,1,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.307291651,-0.462963019,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.979166985,7.2252,space,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,0.6536,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,0.333333397,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,47,10.0862,space,7,6.2019,,,,,,0,24,24,24,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,4.3689,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.296875,-0.494444444,1,0,0,LeftButton,"[""LeftButton""]",40,5.8932,space,0.7037,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,,,,,,,
