﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.273457882,-0.522768715,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,24.79820242,4.2699,space,0.2698,49.47242705,3.5353,0,15,15,15,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,0.281896774,-0.508196721,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,-0.246132159,-0.490710383,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,72,5.4927,space,56,4.1758,,,,,,,0,17,17,17,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,1.2174,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.269841319,-0.537340708,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,0,RandomDot34.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.368696051,-0.547540984,1,0,0,RightButton,"[""RightButton""]",,,,,,,86,1.7343,space,53,2.9997,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,0.5252,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,-0.306409435,-0.505282376,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,55,10.1915,space,60,9.6389,,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,0.5772,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.230058244,-0.52568306,1,0,0,LeftButton,"[""LeftButton""]",16,1.0455,space,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,0.779,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.256580245,-0.514025545,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,26,2.2604,space,19,1.4789,,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,1.6113,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.297166968,-0.481967213,1,0,0,RightButton,"[""RightButton""]",,,,2.875652656,8.3706,space,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,0.5189,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.299176162,-0.514025545,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,63.67633287,6.7606,space,1.3819,55.88447324,5.0983,0,24,24,24,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,,,,,
