﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,-0.319791635,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",17,1.9658,space,,,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,0.7021,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.244791667,-0.498148176,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,56.94444284,2.5054,space,53.05134841,4.1389,0,30,30,30,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,0.6883,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,-0.352083325,-0.505555612,1,0,0,LeftButton,"[""LeftButton""]",4,3.9161,space,,,,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,2.8954,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.3125,-0.511111083,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,38.84680295,2.0903,space,34.63804874,2.6655,0,32,32,32,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,0.7533,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.292708317,-0.490740741,1,0,0,RightButton,"[""RightButton""]",,,,3.692708413,1.9702,space,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,0.5687,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,-0.311458349,-0.490740741,1,0,0,LeftButton,"[""LeftButton""]",,,,3.614583413,1.2722,space,,,,,,,,,,,0,34,34,34,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,0.5237,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,-0.318749984,-0.488888917,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,97,2.5761,space,18,3.9361,,,,,,0,35,35,35,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.9503,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.296875,-0.531481566,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,36,36,36,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.303124984,-0.507407436,1,0,0,RightButton,"[""RightButton""]",,,,,,,65,2.545,space,39,3.3373,,,,,,0,37,37,37,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.5384,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,-0.253124952,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,10,2.2663,space,22,4.8174,,,,,,0,38,38,38,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,1.2104,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.318749984,-0.538888861,1,0,0,RightButton,"[""RightButton""]",51,3.3376,space,,,,,,,,,,,,,,0,39,39,39,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,1.147,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,-0.25,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,100,3.4456,space,13,4.428,,,,,,0,40,40,40,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,3.5642,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.263541698,-0.520370342,1,0,0,RightButton,"[""RightButton""]",,,,3.026041587,1.8531,space,,,,,,,,,,,0,41,41,41,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,,0.7201,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.618750095,6.9785,5.006249905,8.0383,4.993750095,11.202,3.987500191,13.867,space,15.5668
