﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.265007321,-0.497395833,1,0,0,LeftButton,"[""LeftButton""]",1,1.9987,space,,,,,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,0.74427,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.2284041,-0.510416667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.304538799,-0.481770833,1,0,0,LeftButton,"[""LeftButton""]",,,,2.155929722,2.041075,space,0.320945,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.266471449,-0.513020833,1,0,0,LeftButton,"[""LeftButton""]",92,2.53102,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,1.27312,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.275256223,-0.494791667,1,0,0,LeftButton,"[""LeftButton""]",,,,2.661054173,1.190805,space,0.46685,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.358711567,-0.510416667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,84,1.713285,space,6,2.626365,,,,,,0,31,31,31,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,0.782835,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.224011713,-0.5078125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,93.48018989,2.229805,space,5.336675688,3.63485,0,32,32,32,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,0.935915,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.241581259,-0.479166667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,85,3.094485,space,2,4.28725,,,,,,0,33,33,33,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,0.264735,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.345534407,-0.489583333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,94.51543251,2.03008,space,0,4.676395,0,34,34,34,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,1.7355,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.327964861,-0.505208333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,95.10699972,1.677245,space,3.857757664,2.559945,0,35,35,35,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,0.268795,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.289897511,-0.526041667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,36,36,36,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.368960469,-0.520833333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,1,1.81895,space,4,2.60731,,,,,,0,37,37,37,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,0.6157,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.273792094,-0.5234375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,97.17748495,1.785855,space,5.48456749,2.727175,0,38,38,38,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,0.16461,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.224011713,-0.536458333,1,0,0,LeftButton,"[""LeftButton""]",5,2.09999,space,,,,,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,0.118165,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.262079063,-0.520833333,1,0,0,RightButton,"[""RightButton""]",85,1.55037,space,,,,,,,,,,,,,,,0,40,40,40,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,0.27043,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,0.266471449,-0.53125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,59,2.630895,space,6,4.01241,,,,,,0,41,41,41,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,0.684465,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67057101,2.549275,5.467057101,3.349315,6.635431918,4.290855,4.535871157,6.176075,space,6.56386
