﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.310416651,-0.516666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.273958397,-0.505555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,80.40825237,3.9318,space,49.36868687,5.7424,0,16,16,16,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,0.92,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,0.298958397,-0.520370483,1,0,0,RightButton,"[""RightButton""]",69,2.9931,space,,,,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,0.8572,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.278125,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,64.20454545,4.1989,space,58.9436059,6.08,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,0.4543,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.298958397,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.67592914,4.4122,space,49.36868687,6.5031,0,19,19,19,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,0.5245,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,0.319791698,-0.535185242,1,0,0,RightButton,"[""RightButton""]",,,,,,,,69,3.3811,space,51,7.4978,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,0.4717,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,0.297916698,-0.514814928,1,0,0,RightButton,"[""RightButton""]",90,2.3289,space,,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,1.176,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,0.292708397,-0.492592706,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,-0.301041651,-0.485185242,1,0,0,LeftButton,"[""LeftButton""]",,,,4.984375,3.3064,space,0.9708,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,-0.289583302,-0.48703715,1,0,0,LeftButton,"[""LeftButton""]",80,3.6035,space,,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,1.5691,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.297916651,-0.527777778,1,0,0,LeftButton,"[""LeftButton""]",70,2.0601,space,,,,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,0.4989,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,-0.289583302,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,79,3.3337,space,39,5.2649,,,,,,0,26,26,26,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,1.2162,,,,,,,,,,
