﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.290625,-0.516666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,71.35943403,2.8456,space,39.8989899,6.6064,0,32,32,32,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,1.1006,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.259375,-0.503703817,1,0,0,LeftButton,"[""LeftButton""]",71,2.8214,space,,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,1.402,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.314583302,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.298958397,-0.481481595,1,0,0,RightButton,"[""RightButton""]",,,,2.020833492,3.4681,space,2.228,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,-0.279166651,-0.509259372,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,36,36,36,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.265625,-0.48703715,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,3.2757,space,60,5.7879,,,,,,0,37,37,37,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,2.7684,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.294791651,-0.527777778,1,0,0,LeftButton,"[""LeftButton""]",1,2.0433,space,,,,,,,,,,,,,,,0,38,38,38,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,1.1532,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.317708397,-0.512963019,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,4.9482,space,49,3.5143,,,,,,0,39,39,39,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,,2.2803,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.284375,-0.498148261,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.9915857,5.858,space,60.73232323,8.9025,0,40,40,40,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,1.748,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.340625,-0.514814928,1,0,0,RightButton,"[""RightButton""]",,,,0.026041746,3.6038,space,1.4675,,,,,,,,,,,0,41,41,41,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.987500381,17.7894,4.025000191,19.0316,4.031250381,23.3465,3.000000381,21.787,space,29.7122
