﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,incompleteTrials,key_apology.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.2989449,-0.525,1,0,0,LeftButton,"[""LeftButton""]",2,1.543,space,0.475,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.289566237,-0.485416667,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.04982415,2.04,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,0.337,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,0.274325909,-0.53125,1,0,0,RightButton,"[""RightButton""]",1,1.32,space,0.283,,,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.295427902,-0.502083333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,3,1.447,space,7,4.376,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,0.266,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,0.223915592,-0.520833333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,95.82756048,2.188,space,3.817187111,2.993,0,21,21,21,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,,0.264,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.301289566,-0.510416667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,92.63028882,2.117,space,4.409274456,3.193,0,22,22,22,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,,0.461,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,0.327080891,-0.479166667,1,0,0,RightButton,"[""RightButton""]",,,,,0.108440797,1.581,space,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,0.474,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,0.339976553,-0.5125,1,0,0,RightButton,"[""RightButton""]",,,,,0.172919109,1.488,space,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,0.787,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,0.365767878,-0.520833333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,2,2.157,space,3,3.039,,,,,,0,25,25,25,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,1.067,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.275498242,-0.489583333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,94.52496832,1.939,space,4.409274456,2.792,0,26,26,26,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,0.17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,0.307151231,-0.491666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,2,2.612,space,87,5.478,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,2.319,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.245017585,-0.502083333,1,0,0,LeftButton,"[""LeftButton""]",83,1.459,space,1.138,,,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.23094959,-0.525,1,0,0,LeftButton,"[""LeftButton""]",80,1.406,space,0.333,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.277842907,-0.51875,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.251465416,2.831,space,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,0.236,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,-0.264947245,-0.54375,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.028722157,1.896,space,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,0.395,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,0.255568581,-0.50625,1,0,0,RightButton,"[""RightButton""]",77,2.068,space,0.569,,,,,,,,,,,,,,0,32,32,32,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,,,,,,,,,,,,,,,,,
