﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_apology.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.290372728,-0.516603171,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,2.6819,space,21,4.5008,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,1.3821,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.313192853,-0.535344092,1,0,0,RightButton,"[""RightButton""]",39,3.0894,space,,,,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,,1.1619,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.307098883,-0.507232711,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,74.29323692,2.6048,space,38.46234864,4.2332,0,17,17,17,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,1.5844,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.275850911,-0.479121508,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.296596434,-0.505358762,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,40.55772017,2.9196,space,52.50135293,4.2675,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,0.4048,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.236564105,-0.490366007,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,61,1.8759,space,32,3.3177,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,0.3996,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.251085921,-0.505358762,1,0,0,LeftButton,"[""LeftButton""]",38,2.7277,space,,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,,1.9999,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.223987054,-0.494114173,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.257179891,-0.535344092,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.77737493,2.952,space,58.57793539,5.5516,0,23,23,23,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,0.381,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.226191244,-0.524099682,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,69,1.416,space,44,2.2735,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,0.5223,,,,,,,,,,,,,,,,
