﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.265625,-0.477777834,1,0,0,LeftButton,"[""LeftButton""]",,,,4.250000318,1.7159,space,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,0.5183,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.286458333,-0.501851824,1,0,0,RightButton,"[""RightButton""]",,,,,,,89,2.405,space,8,3.4847,,,,,,0,17,17,17,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,0.0867,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.235416651,-0.494444529,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,93,3.8304,space,21,6.7295,,,,,,0,18,18,18,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,2.4217,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.293750048,-0.511111083,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,78.82996794,2.857,space,25.06313452,3.9077,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,0.1257,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.267708381,-0.522222307,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,80.09259099,1.6787,space,26.01010583,2.7776,0,20,20,20,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,0.636,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.25,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",32,2.3789,space,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,,0.1384,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.297916651,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,87.66835338,1.8845,space,20.32828604,3.2768,0,22,22,22,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,0.109,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.292708317,-0.487037094,1,0,0,RightButton,"[""RightButton""]",38,2.6324,space,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,,0.0675,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.296875,-0.472222222,1,0,0,RightButton,"[""RightButton""]",,,,4.364583492,2.1236,space,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,0.0841,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.325000048,-0.450000057,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,88.82576721,1.6836,space,12.22643338,2.7318,0,25,25,25,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,0.626,,,,,,,,,,,,
