participant,SONAid,slider_guilt_both_incor,slider_guilt_self_incor,slider_guilt_diff,share_slider_both_incor,share_slider_self_incor,share_slider_diff,slider_apology_both_incor,slider_apology_self_incor,slider_apology_diff,slider_hide_both_incor,slider_hide_self_incor,slider_hide_diff,slider_forgiveness_both_incor,slider_forgiveness_self_incor,slider_forgiveness_diff,slider_mad_both_incor,slider_mad_self_incor,slider_mad_diff
R_5LgU1eXqKtcFTuL,120216.0,40.333333333333336,47.0,6.666666666666664,4.564138676333333,3.4048061933333336,-1.1593324829999996,52.333333333333336,66.0,13.666666666666664,86.66666666666667,81.0,-5.666666666666671,59.78284832333333,66.17059913,6.387750806666666,32.33396894,31.95675576666667,-0.3772131733333275
R_5PyR4YVF9PC296x,120210.0,44.333333333333336,80.66666666666667,36.333333333333336,2.9260073060000003,3.1258138019999997,0.19980649599999944,13.666666666666666,52.666666666666664,39.0,25.666666666666668,48.0,22.333333333333332,50.93582672666667,45.15372182666667,-5.7821049,43.14469931,38.82469808,-4.320001230000003
R_5gBJYH1TXEzkJ8L,120347.0,34.666666666666664,77.66666666666667,43.00000000000001,2.836868851333333,4.983407479333334,2.1465386280000005,60.333333333333336,75.0,14.666666666666664,0.0,0.6666666666666666,0.6666666666666666,58.704302868000006,51.1226998,-7.581603068000007,2.736274784666667,22.521621016666668,19.785346232000002
R_5lSB76siDkwnBL3,120201.0,48.333333333333336,63.0,14.666666666666664,1.251842164,1.1924014066666666,-0.059440757333333316,77.0,75.66666666666667,-1.3333333333333286,39.333333333333336,60.0,20.666666666666664,62.90777696333333,40.76783171333333,-22.139945250000004,53.60227517333334,51.14016297999999,-2.462112193333347
R_5uP9JJsaCJo6OOz,120968.0,42.333333333333336,62.666666666666664,20.33333333333333,4.545855379,4.969135802333334,0.4232804233333338,52.333333333333336,72.33333333333333,19.999999999999993,42.666666666666664,34.0,-8.666666666666664,75.74243315,38.95480377,-36.78762938,41.35980617333333,61.98047494333334,20.62066877000001
R_6JCnE5DyshtV1nw,120479.0,94.0,90.0,-4.0,3.002568735666667,3.0015589570000003,-0.0010097786666665165,89.66666666666667,79.66666666666667,-10.0,89.66666666666667,70.0,-19.66666666666667,71.4229526,63.60848422,-7.814468380000001,77.45746867999999,78.76679923,1.3093305500000127
R_71Et5V1BaqiJuoR,120783.0,4.0,19.333333333333332,15.333333333333332,1.9939615026666668,3.6588800016666667,1.6649184989999999,18.666666666666668,34.0,15.333333333333332,30.0,16.666666666666668,-13.333333333333332,83.96891923666666,29.432045043333332,-54.53687419333333,26.190058656,67.46323324666666,41.273174590666656
R_73JC3XxCdLeJrlD,120370.0,86.33333333333333,92.0,5.666666666666671,4.969497316,4.925573450333333,-0.04392386566666673,71.66666666666667,88.0,16.33333333333333,46.0,66.0,20.0,67.79631355,45.661840463333334,-22.13447308666666,39.45038476333334,60.50031796333334,21.049933199999998
R_7LzE0pjYtdObtSm,121574.0,3.0,2.6666666666666665,-0.3333333333333335,2.9739229023333333,3.0034013606666665,0.02947845833333318,3.3333333333333335,2.3333333333333335,-1.0,5.0,2.6666666666666665,-2.3333333333333335,1.6250944823333333,31.821617534666668,30.196523052333333,1.670904052,1.304427495,-0.3664765569999999
R_7PyO7Fjqtbjl581,120529.0,96.33333333333333,87.66666666666667,-8.666666666666657,4.317008972,3.3474748400000003,-0.9695341319999997,86.66666666666667,96.66666666666667,10.0,33.333333333333336,53.333333333333336,20.0,62.83840717666667,63.571077370000005,0.7326701933333339,59.93381704666667,66.76134879333334,6.827531746666672
R_7eap0FQxb1TrCnY,120456.0,38.333333333333336,38.666666666666664,0.3333333333333286,2.430555555666667,2.4745370369999997,0.043981481333332795,14.333333333333334,27.666666666666668,13.333333333333334,7.0,21.333333333333332,14.333333333333332,49.76618032,51.82379348999999,2.057613169999996,24.139543586666665,39.85222596333333,15.712682376666667
R_7lxhI87CHabQjfc,120766.0,42.666666666666664,39.666666666666664,-3.0,2.5464319300000002,2.5103533710000003,-0.0360785589999999,62.0,52.666666666666664,-9.333333333333336,11.0,14.666666666666666,3.666666666666666,55.08588245666667,55.035799983333334,-0.050082473333333155,52.63305922666666,33.501555630000006,-19.131503596666654
R_8cvY6RMpIIbMEo3,120435.0,62.0,98.0,36.0,2.143955499,3.8741496600000005,1.7301941610000005,60.333333333333336,71.33333333333333,10.999999999999993,5.0,4.0,-1.0,44.53541938666667,34.643236503333334,-9.892182883333334,48.50743117333334,70.99402471333333,22.486593539999994
