chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.277083317,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.305208286,-0.507407436,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.51767677,4.6001,space,29.90320026,6.8565,0,15,15,15,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,0.8297,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.337499976,-0.522222307,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,0.308333317,-0.524074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,3.8378,space,0,5.9865,,,,,,0,17,17,17,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,1.1507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.295833349,-0.538888861,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,0,14.0139,space,0.441920797,2.8079,0,18,18,18,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,9.6625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.252083381,-0.514814871,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.345833341,-0.492592564,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,3.2388,space,0,5.4382,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,1.0402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.361458341,-0.516666695,1,0,0,LeftButton,"[""LeftButton""]",,,,0,2.1219,space,1.5133,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.305208365,-0.505555612,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,5.1735,space,0,7.661,0,22,22,22,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,0.4694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,0.275000016,-0.472222222,1,0,0,RightButton,"[""RightButton""]",0,6.0812,space,,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,3.1143,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258333286,-0.527777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,71,3.9441,space,10,7.3612,,,,,,0,24,24,24,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,1.9457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,0.342708429,-0.505555612,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,7.1671,space,0,5.9903,,,,,,0,25,25,25,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,0.5032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.321875016,-0.498148176,1,0,0,LeftButton,"[""LeftButton""]",70,2.8106,space,,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,0.6577,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253124952,-0.540740826,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,1,3.3959,space,0,5.1963,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,1.0684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.280208349,-0.498148176,1,0,0,LeftButton,"[""LeftButton""]",,,,0.01562496,1.8371,space,0.6389,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322916667,-0.537037037,1,0,0,LeftButton,"[""LeftButton""]",,,,2.458333572,4.9815,space,3.896,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,
