chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.222173394,-0.50890625,1,0,0,LeftButton,"[""LeftButton""]",,,,4.025227865,2.704,space,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,,0.5001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.290196398,-0.496388889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,98.14365443,3.8591,space,4.954821654,6.9104,0,15,15,15,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,0.4344,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.300726997,-0.478107639,1,0,0,LeftButton,"[""LeftButton""]",9,2.6028,space,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,0.321,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.320979818,-0.483828125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,17,17,17,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285828993,-0.511571181,1,0,0,RightButton,"[""RightButton""]",0,2.8478,space,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,0.4012,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.366775174,-0.540442708,1,0,0,LeftButton,"[""LeftButton""]",1,2.095,space,,,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,0.3674,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.286507161,-0.530217014,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,2,2.4212,space,57,7.8107,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,0.2857,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269194878,-0.494730903,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.98114829,3.5685,space,0.318067831,6.2467,0,21,21,21,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,0.4707,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.281456163,-0.521631944,1,0,0,LeftButton,"[""LeftButton""]",,,,0.982774523,2.0045,space,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,,0.2351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.270057509,-0.504696181,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,98.40560553,2.2507,space,3.914141414,3.1702,0,23,23,23,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,0.3174,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.331873915,-0.481944444,1,0,0,RightButton,"[""RightButton""]",,,,,,,1,4.7488,space,64,7.0712,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,0.2832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.309331597,-0.489444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,85.26859305,4.0817,space,21.38704756,6.9014,0,25,25,25,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,1.6328,,,
